input_size,divide_and_conquer,brute_force
1130,0.000034089,0.000503692
1135,0.000033510,0.000508753
1140,0.000033944,0.000511604
1145,0.000033625,0.000517172
1150,0.000033551,0.000520504
1155,0.000033979,0.000525934
1160,0.000034311,0.000529536
1165,0.000034973,0.000534986
1170,0.000034752,0.000538607
1175,0.000035138,0.000544161
1180,0.000035242,0.000548886
1185,0.000035737,0.000552312
1190,0.000035739,0.000557951
1195,0.000035379,0.000563567
1200,0.000035795,0.000567199
1205,0.000035563,0.000571982
1210,0.000036233,0.000575723
1215,0.000036249,0.000581302
1220,0.000036582,0.000586004
1225,0.000037005,0.000589865
1230,0.000036631,0.000595650
1235,0.000036899,0.000599472
1240,0.000037076,0.000605146
1245,0.000036814,0.000610382
1250,0.000040494,0.000614822
1255,0.000036882,0.000619776
1260,0.000037053,0.000624644
1265,0.000036531,0.000628540
1270,0.000036919,0.000634421
1275,0.000036915,0.000644177
1280,0.000036503,0.000643483
1285,0.000039335,0.000648437
1290,0.000038108,0.000654394
1295,0.000037852,0.000659477
1300,0.000038647,0.000663544
1305,0.000038563,0.000669469
1310,0.000038982,0.000674730
1315,0.000039783,0.000678835
1320,0.000039583,0.000684899
1325,0.000039569,0.000690080
1330,0.000040054,0.000695363
1335,0.000039931,0.000699590
1340,0.000039853,0.000705553
1345,0.000040339,0.000710901
1350,0.000041053,0.000716121
1355,0.000040651,0.000723514
1360,0.000041146,0.000726676
1365,0.000041089,0.000731737
1370,0.000041396,0.000737323
1375,0.000040997,0.000742714
1380,0.000041406,0.000747012
1385,0.000041655,0.000788197
1390,0.000041462,0.000783732
1395,0.000041553,0.000764247
1400,0.000041360,0.000774089
1405,0.000041393,0.000774964
1410,0.000042189,0.000779636
1415,0.000042195,0.000785992
1420,0.000042363,0.000791549
1425,0.000042954,0.000797173
1430,0.000042645,0.000802656
1435,0.000042883,0.000808176
1440,0.000042808,0.000812795
1445,0.000043124,0.000819294
1450,0.000043416,0.000827614
1455,0.000043237,0.000830628
1460,0.000043267,0.000836246
1465,0.000043165,0.000842025
1470,0.000043170,0.000847655
1475,0.000043480,0.000853398
1480,0.000043822,0.000863000
1485,0.000043721,0.000863937
1490,0.000044950,0.000869691
1495,0.000044412,0.000876519
1500,0.000044217,0.000882072
1505,0.000044541,0.000888132
1510,0.000044121,0.000894001
1515,0.000044473,0.000900060
1520,0.000044451,0.000905886
1525,0.000044869,0.000911787
1530,0.000044673,0.000917819
1535,0.000044726,0.000925917
1540,0.000045699,0.000929723
1545,0.000046165,0.000935730
1550,0.000046145,0.000941539
1555,0.000046540,0.000947554
1560,0.000046634,0.000953768
1565,0.000047061,0.000960016
1570,0.000047111,0.000965748
1575,0.000047370,0.000972011
1580,0.000047603,0.000977970
1585,0.000047478,0.000984327
1590,0.000048085,0.000990356
1595,0.000047878,0.000996615
1600,0.000047835,0.001002909
1605,0.000048842,0.001009528
1610,0.000049170,0.001018040
1615,0.000048669,0.001022012
1620,0.000049374,0.001028789
1625,0.000049122,0.001034501
1630,0.000049224,0.001040686
1635,0.000049821,0.001046964
1640,0.000049879,0.001053288
1645,0.000049965,0.001063280
1650,0.000049852,0.001066014
1655,0.000049546,0.001072415
1660,0.000049863,0.001078794
1665,0.000050059,0.001086189
1670,0.000050298,0.001091834
1675,0.000051124,0.001108321
1680,0.000050772,0.001107448
1685,0.000050977,0.001111393
1690,0.000051310,0.001118315
1695,0.000051084,0.001125387
1700,0.000051936,0.001131069
1705,0.000051631,0.001141671
1710,0.000051858,0.001144312
1715,0.000051921,0.001150874
1720,0.000051566,0.001158469
1725,0.000051982,0.001164341
1730,0.000051819,0.001171096
1735,0.000052360,0.001177627
1740,0.000052150,0.001185146
1745,0.000052643,0.001193569
1750,0.000052399,0.001198007
1755,0.000052718,0.001204779
1760,0.000052579,0.001212459
1765,0.000053176,0.001218441
1770,0.000053250,0.001225319
1775,0.000052405,0.001232108
1780,0.000053732,0.001243178
1785,0.000053088,0.001245984
1790,0.000052941,0.001252865
1795,0.000053664,0.001260744
1800,0.000054049,0.001271296
1805,0.000054470,0.001276250
1810,0.000054623,0.001281734
1815,0.000054402,0.001287915
1820,0.000055093,0.001294847
1825,0.000056742,0.001301964
1830,0.000056066,0.001309140
1835,0.000055880,0.001317052
1840,0.000055789,0.001323325
1845,0.000056654,0.001330360
1850,0.000056357,0.001338515
1855,0.000056357,0.001344856
1860,0.000056755,0.001379375
1865,0.000056775,0.001361458
1870,0.000057444,0.001366492
1875,0.000058612,0.001373708
1880,0.000057380,0.001381023
1885,0.000057381,0.001389150
1890,0.000057791,0.001395686
1895,0.000057942,0.001403780
1900,0.000058270,0.001413773
1905,0.000057954,0.001418694
1910,0.000058155,0.001425161
1915,0.000074037,0.001609578
1920,0.000058235,0.001466389
1925,0.000058592,0.001502179
1930,0.000059495,0.001507806
1935,0.000059519,0.001488235
1940,0.000059837,0.001527305
1945,0.000059592,0.001503262
1950,0.000059299,0.001543926
1955,0.000060403,0.001531068
1960,0.000072584,0.001524778
1965,0.000059947,0.001562646
1970,0.000059987,0.001541745
1975,0.000060287,0.001576622
1980,0.000060251,0.001561507
1985,0.000060277,0.001540062
1990,0.000060217,0.001550230
1995,0.000061039,0.001557986
2000,0.000060895,0.001562746
2005,0.000060686,0.001569765
2010,0.000061121,0.001577077
2015,0.000060819,0.001587289
2020,0.000061274,0.001593277
2025,0.000061808,0.001600127
2030,0.000061249,0.001609129
2035,0.000061688,0.001628912
2040,0.000061583,0.001624293
2045,0.000062248,0.001632022
2050,0.000061601,0.001641061
2055,0.000062362,0.001649228
2060,0.000062778,0.001658264
2065,0.000063100,0.001665374
2070,0.000063126,0.001673186
2075,0.000063402,0.001684325
2080,0.000063707,0.001687930
2085,0.000064318,0.001696942
2090,0.000064328,0.001705237
2095,0.000064497,0.001713555
2100,0.000065296,0.001720928
2105,0.000066308,0.001730864
2110,0.000065224,0.001738089
2115,0.000065555,0.001746213
2120,0.000065299,0.001754499
2125,0.000065866,0.001793006
2130,0.000065974,0.001770232
2135,0.000067317,0.001778281
2140,0.000066819,0.001788402
2145,0.000066444,0.001798058
2150,0.000067278,0.001804015
2155,0.000066912,0.001812548
2160,0.000066817,0.001820726
2165,0.000067146,0.001832779
2170,0.000067388,0.001837495
2175,0.000066772,0.001845042
2180,0.000068440,0.001853452
2185,0.000068161,0.001865177
2190,0.000068219,0.001871209
2195,0.000068262,0.001879746
