input_size,divide_and_conquer,brute_force
2000,0.000219112,0.007517965
4000,0.000405915,0.029730093
6000,0.000596424,0.066196644
8000,0.000822974,0.117629279
10000,0.001037174,0.183533255
12000,0.001241941,0.263981397
14000,0.001464264,0.359082486
16000,0.001814550,0.469522044
18000,0.002016817,0.593732841
20000,0.002120766,0.733720974
22000,0.002434943,0.888171812
24000,0.002632887,1.055584366
26000,0.002916090,1.238559375
28000,0.003113327,1.436894885
30000,0.003328689,1.650043836
32000,0.003644919,1.875757362
34000,0.003832778,2.118366962
36000,0.003963876,2.377582954
38000,0.004209368,2.648792120
40000,0.004416459,2.931865537
42000,0.004620665,3.233600008
44000,0.005098482,3.548105137
46000,0.005208533,3.879338105
48000,0.005561727,4.243415972
50000,0.005804979,4.582056945
52000,0.005868565,4.958981431
54000,0.006061873,5.345096110
56000,0.006277894,5.747852016
58000,0.006736777,6.166624483
60000,0.006710826,6.598510550
62000,0.006995046,7.045014155
64000,0.007503290,7.507523872
66000,0.007635222,7.983931585
68000,0.007706872,8.476090858
70000,0.007933264,8.983272032
72000,0.008198823,9.499291068
74000,0.008827354,10.037239860
76000,0.008692505,10.586776634
78000,0.008974697,11.152307068
80000,0.009645841,11.761770241
82000,0.009456711,12.328805291
84000,0.009886413,12.932245149
86000,0.010340209,13.554771882
88000,0.010056694,14.192954051
90000,0.010591102,14.850406015
92000,0.010998343,15.511351087
94000,0.010821831,16.194373407
96000,0.010874527,16.896348347
98000,0.011318636,17.716525410
100000,0.011387897,18.437053658
