input_size,divide_and_conquer,brute_force
6450,0.000218157,0.016111287
6480,0.000213977,0.016263076
6510,0.000216138,0.016437605
6540,0.000216134,0.016573116
6570,0.000217775,0.016750246
6600,0.000217602,0.016870803
6630,0.000217706,0.017021187
6660,0.000219865,0.018387957
6690,0.000251451,0.018025217
6720,0.000227286,0.017499641
6750,0.000258788,0.017968881
6780,0.000303855,0.017801667
6810,0.000224955,0.017956076
6840,0.000225037,0.018116923
6870,0.000225942,0.018298227
6900,0.000226025,0.018449817
6930,0.000227700,0.018622130
6960,0.000230596,0.018792773
6990,0.000232109,0.018931269
7020,0.000230821,0.019080983
7050,0.000231797,0.019252886
7080,0.000231756,0.019435566
7110,0.000234011,0.019572113
7140,0.000232487,0.020204986
7170,0.000233160,0.019905214
7200,0.000236181,0.020078286
7230,0.000238353,0.020266555
7260,0.000240732,0.020406632
7290,0.000241846,0.020572857
7320,0.000242468,0.020770244
7350,0.000244009,0.020952147
7380,0.000245340,0.021110396
7410,0.000246318,0.021282240
7440,0.000247170,0.021453621
7470,0.000250380,0.021600680
7500,0.000250075,0.022348257
7530,0.000252166,0.021974577
7560,0.000252597,0.022125919
7590,0.000253814,0.022298580
7620,0.000254529,0.022477133
7650,0.000253875,0.022750657
7680,0.000256428,0.022936042
7710,0.000258236,0.023041209
7740,0.000258582,0.023186411
7770,0.000259418,0.023376045
7800,0.000260445,0.023693649
7830,0.000261408,0.024105201
7860,0.000262122,0.023909899
7890,0.000263846,0.024100861
7920,0.000262811,0.024303807
7950,0.000263390,0.024456919
7980,0.000272847,0.024667874
8010,0.000266274,0.024842267
8040,0.000266926,0.025042746
8070,0.000267097,0.025205101
8100,0.000268375,0.025472363
8130,0.000267598,0.025864274
8160,0.000270535,0.026010944
8190,0.000269321,0.025959230
8220,0.000272122,0.026151424
8250,0.000277870,0.026344966
8280,0.000276071,0.026562363
8310,0.000277267,0.026790135
8340,0.000279733,0.026920639
8370,0.000283007,0.027139959
8400,0.000282446,0.027497447
8430,0.000283471,0.027498429
8460,0.000285655,0.027720943
8490,0.000287080,0.027900202
8520,0.000288920,0.028169190
8550,0.000291923,0.028318881
8580,0.000291774,0.028494859
8610,0.000292172,0.028736395
8640,0.000292568,0.028881233
8670,0.000294987,0.029549661
8700,0.000294280,0.029295568
8730,0.000295624,0.029516145
8760,0.000298048,0.029692357
8790,0.000299325,0.029991918
8820,0.000303907,0.030134330
8850,0.000303035,0.030339000
8880,0.000303422,0.030545384
8910,0.000306039,0.031169514
8940,0.000304805,0.030949716
8970,0.000306560,0.031156911
9000,0.000305655,0.031347795
9030,0.000305177,0.031621332
9060,0.000307370,0.031758991
9090,0.000307793,0.032016495
9120,0.000308340,0.032205708
9150,0.000307853,0.032568015
9180,0.000308278,0.032604401
9210,0.000309287,0.032869689
9240,0.000311168,0.033029666
9270,0.000313834,0.033266835
9300,0.000314149,0.033474386
9330,0.000316561,0.033705906
9360,0.000316663,0.034120808
9390,0.000317813,0.034137959
9420,0.000320499,0.034358591
9450,0.000321839,0.034554823
9480,0.000323361,0.034955224
9510,0.000324410,0.034990438
9540,0.000323888,0.035243165
9570,0.000325927,0.035640897
9600,0.000326985,0.035653738
9630,0.000326763,0.035882151
9660,0.000328139,0.036124453
9690,0.000329737,0.036525876
9720,0.000330068,0.036555854
9750,0.000330347,0.036826945
9780,0.000332682,0.037252997
9810,0.000364474,0.037266772
9840,0.000335902,0.037482198
9870,0.000334189,0.037691740
9900,0.000335623,0.037935848
9930,0.000335629,0.038294598
9960,0.000339344,0.038381624
9990,0.000336871,0.039271663
10020,0.000338458,0.038858138
10050,0.000336911,0.039139304
10080,0.000337571,0.039329894
10110,0.000340316,0.039546635
10140,0.000340105,0.039829859
10170,0.000339108,0.040208135
10200,0.000341464,0.040269445
10230,0.000338844,0.040532793
10260,0.000342134,0.040752789
10290,0.000343954,0.040984124
10320,0.000372746,0.041232667
10350,0.000348301,0.041618018
10380,0.000350640,0.041699872
10410,0.000355299,0.041923229
10440,0.000352148,0.042341729
10470,0.000353986,0.042407619
10500,0.000356011,0.042714643
10530,0.000358076,0.043368368
10560,0.000358639,0.043137106
10590,0.000358733,0.043395493
10620,0.000360604,0.043655212
10650,0.000362402,0.044416761
10680,0.000362476,0.044703555
10710,0.000364190,0.044719977
10740,0.000369723,0.044650025
10770,0.000366801,0.044937027
10800,0.000366954,0.045353150
10830,0.000370099,0.045370219
10860,0.000372405,0.045861723
10890,0.000370636,0.045907488
10920,0.000373441,0.046146533
10950,0.000373294,0.046436134
10980,0.000373620,0.046681097
11010,0.000373945,0.047278210
11040,0.000401879,0.047234664
11070,0.000376673,0.047434013
11100,0.000378042,0.047857077
11130,0.000379676,0.047928290
11160,0.000378458,0.048374021
11190,0.000379310,0.048527716
11220,0.000379140,0.048695655
11250,0.000379362,0.048972417
11280,0.000383199,0.049239429
11310,0.000383160,0.049556773
11340,0.000397853,0.049876523
11370,0.000388835,0.050004699
11400,0.000386750,0.050367856
11430,0.000387384,0.050560407
11460,0.000389509,0.051139930
11490,0.000390253,0.051270623
11520,0.000391905,0.051387107
11550,0.000392460,0.051665461
11580,0.000395275,0.051923865
11610,0.000393465,0.052315692
11640,0.000393843,0.052435526
11670,0.000394414,0.052664782
11700,0.000396332,0.053097428
11730,0.000398713,0.053232406
11760,0.000397828,0.053699557
11790,0.000399715,0.053787781
11820,0.000400196,0.054031410
11850,0.000401757,0.054387158
11880,0.000402550,0.054732600
11910,0.000430473,0.054915167
11940,0.000406119,0.055144221
11970,0.000406608,0.055511374
